Time,Open,High,Low,Last,Change,%Chg,Volume
09/24/2020,3226.14,3278.7,3209.45,3246.59,9.67,+0.30%,0
09/23/2020,3320.11,3323.35,3232.57,3236.92,-78.65,-2.37%,0
09/22/2020,3295.75,3320.31,3270.95,3315.57,34.51,+1.05%,0
09/21/2020,3285.57,3285.57,3229.1,3281.06,-38.41,-1.16%,0
09/18/2020,3357.38,3362.27,3292.4,3319.47,-37.54,-1.12%,0
09/17/2020,3346.86,3375.17,3328.82,3357.01,-28.48,-0.84%,0
09/16/2020,3411.23,3428.92,3384.45,3385.49,-15.71,-0.46%,0
09/15/2020,3407.73,3419.48,3389.25,3401.2,17.66,+0.52%,0
09/14/2020,3363.56,3402.93,3363.56,3383.54,42.57,+1.27%,0
09/11/2020,3352.7,3368.95,3310.47,3340.97,1.78,+0.05%,0
09/10/2020,3412.56,3425.55,3329.25,3339.19,-59.77,-1.76%,0
09/09/2020,3369.82,3424.77,3366.84,3398.96,67.12,+2.01%,0
09/08/2020,3371.88,3379.97,3329.27,3331.84,-95.12,-2.78%,0
09/04/2020,3453.6,3479.15,3349.63,3426.96,-28.1,-0.81%,0
09/03/2020,3564.74,3564.85,3427.41,3455.06,-125.78,-3.51%,0
09/02/2020,3543.76,3588.11,3535.23,3580.84,54.19,+1.54%,0
09/01/2020,3507.44,3528.03,3494.6,3526.65,26.34,+0.75%,0
08/31/2020,3509.73,3514.77,3493.25,3500.31,-7.7,-0.22%,0
08/28/2020,3494.69,3509.23,3484.32,3508.01,23.46,+0.67%,0
08/27/2020,3485.14,3501.38,3468.35,3484.55,5.82,+0.17%,0
08/26/2020,3449.97,3481.07,3444.15,3478.73,35.11,+1.02%,0
08/25/2020,3435.95,3444.21,3425.84,3443.62,12.34,+0.36%,0
08/24/2020,3418.09,3432.09,3413.13,3431.28,34.12,+1.00%,0
08/21/2020,3386.01,3399.96,3379.31,3397.16,11.65,+0.34%,0
08/20/2020,3360.48,3390.8,3354.69,3385.51,10.66,+0.32%,0
08/19/2020,3392.51,3399.54,3369.66,3374.85,-14.93,-0.44%,0
08/18/2020,3387.04,3395.06,3370.15,3389.78,7.79,+0.23%,0
08/17/2020,3380.86,3387.59,3379.22,3381.99,9.14,+0.27%,0
08/14/2020,3368.66,3378.51,3361.64,3372.85,-0.58,-0.02%,0
08/13/2020,3372.95,3387.24,3363.35,3373.43,-6.92,-0.20%,0
08/12/2020,3355.46,3387.89,3355.46,3380.35,46.66,+1.40%,0
08/11/2020,3370.34,3381.01,3326.44,3333.69,-26.78,-0.80%,0
08/10/2020,3356.04,3363.29,3335.44,3360.47,9.19,+0.27%,0
